rank,title,date,artist,region,streams
1,Recairei - Ao Vivo,2021-01-01,Os Barões Da Pisadinha,Brazil,1611265.0
10,Lance Individual,2021-01-01,Jorge & Mateus,Brazil,936826.0
9,Amor da Despedida,2021-01-01,"Os Barões Da Pisadinha, Fernando & Sorocaba",Brazil,976177.0
8,Rita,2021-01-01,Tierry,Brazil,990441.0
7,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-01,Zé Neto & Cristiano,Brazil,991256.0
2,Basta Você Me Ligar - Ao Vivo,2021-01-01,"Os Barões Da Pisadinha, Xand Avião",Brazil,1263779.0
5,Investe Em Mim,2021-01-01,Jonas Esticado,Brazil,1052844.0
4,Meia Noite (Você tem meu Whatsapp),2021-01-01,Tarcísio do Acordeon,Brazil,1100935.0
3,Amor ou o Litrão,2021-01-01,"Petter Ferraz, Menor Nico",Brazil,1181284.0
6,Tá Rocheda,2021-01-01,Os Barões Da Pisadinha,Brazil,999345.0
9,Amor da Despedida,2021-01-02,"Os Barões Da Pisadinha, Fernando & Sorocaba",Brazil,565435.0
2,Meia Noite (Você tem meu Whatsapp),2021-01-02,Tarcísio do Acordeon,Brazil,751199.0
3,MODO TURBO,2021-01-02,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,707637.0
4,Amor ou o Litrão,2021-01-02,"Petter Ferraz, Menor Nico",Brazil,702616.0
5,Basta Você Me Ligar - Ao Vivo,2021-01-02,"Os Barões Da Pisadinha, Xand Avião",Brazil,686147.0
6,Investe Em Mim,2021-01-02,Jonas Esticado,Brazil,656969.0
7,Lance Individual,2021-01-02,Jorge & Mateus,Brazil,649691.0
8,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-02,Zé Neto & Cristiano,Brazil,630000.0
1,Recairei - Ao Vivo,2021-01-02,Os Barões Da Pisadinha,Brazil,873301.0
10,"Ele É Ele, Eu Sou Eu",2021-01-02,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,551706.0
1,Recairei - Ao Vivo,2021-01-03,Os Barões Da Pisadinha,Brazil,806828.0
2,Meia Noite (Você tem meu Whatsapp),2021-01-03,Tarcísio do Acordeon,Brazil,718301.0
3,MODO TURBO,2021-01-03,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,659060.0
4,Amor ou o Litrão,2021-01-03,"Petter Ferraz, Menor Nico",Brazil,653974.0
5,Basta Você Me Ligar - Ao Vivo,2021-01-03,"Os Barões Da Pisadinha, Xand Avião",Brazil,635062.0
6,Investe Em Mim,2021-01-03,Jonas Esticado,Brazil,627460.0
7,Lance Individual,2021-01-03,Jorge & Mateus,Brazil,623493.0
8,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-03,Zé Neto & Cristiano,Brazil,602116.0
9,Amor da Despedida,2021-01-03,"Os Barões Da Pisadinha, Fernando & Sorocaba",Brazil,535304.0
